	shannon
1073063	9.162443116
1621156	9.513531658
1915554	9.799473295
1121612	10.0070876
1891209	9.853166097
1132953	9.855475158
1579025	9.805416019
1717776	9.890323895
1371635	9.918929934
1773265	9.986693797
1836378	10.07372456
1226306	9.393312135
1179060	9.754580889
1664286	10.00194231
1525158	9.719632214
1131628	9.648055035
1563474	9.292369804
1060314	9.679926604
1905312	10.08677126
1499129	9.701114115
1534233	9.776012196
1345011	9.80715734
1050711	9.620976127
1208979	9.376460478
1732520	9.299193534
1278267	9.839596654
1269690	9.73874554
1409362	9.74124944
1795217	9.566374925
1165317	9.750709739
1945755	9.610483087
1124511	10.05906444
1593949	10.03282927
1764760	9.500489077
1931711	9.684783185
1076452	8.972577088
1183011	9.653256509
1702816	9.881677793
1090967	10.00100474
1842257	9.557000144
1128506	9.641135677
1644362	9.712351606
1494624	9.528052369
1569377	9.870901702
1934221	9.172356877
1506853	9.944038429
1553139	9.835216753
1448845	9.607870474
1873310	9.801881325
1405685	9.219331509
1259864	9.352937587
1565731	9.372347474
1808939	9.466279152
1045571	9.774409894
1788161	9.715435502
1105223	9.271303387
1958872	9.84555938
1203364	9.13211847
1574179	9.902390554
1876593	9.508987151
1194228	9.680946019
1573433	10.00103773
1241396	9.448936719
1528553	9.41180666
1625600	9.780142234
1573344	9.699043198
1868938	9.079665792
1131270	9.796067155
1369117	9.993599209
1130591	9.756928345
1799991	9.447081151
1099091	9.582742408
1507581	9.993362548
1415641	9.707492124
1050970	10.04070978
1965609	9.613203096
1568688	10.05787547
1179749	9.739773657
1765349	9.948414817
1337249	9.55142188
1540871	7.505546278
1291620	9.300926095
1246915	9.136522066
1783472	9.059849412
1404000	9.508544004
1253442	9.312271116
1925231	9.538962952
1982756	9.728264533
1042478	9.588787781
1832618	9.378228539
1238329	9.42323472
1330505	9.344502573
1478938	9.256985536
1068632	9.168132181
1312590	9.337134739
1419183	9.434575211
1097314	9.755509355
1978316	9.817174976
1354353	9.274350305
1133241	9.731935845
1970139	9.735253986
1929875	9.411333264
1715288	9.263532043
1153206	9.735723465
1693417	9.094187808
1678270	9.246356255
1520533	9.102894448
1276033	9.15212444
